geo country;vehicle age;survival rate
Estonia;33;0,363567073
Estonia;34;0,338006556
Estonia;35;0,214611872
Estonia;36;0,147679026
Estonia;37;0,126033058
Estonia;38;0,106933104
Estonia;39;0,08573487
Estonia;40;0,081977926
Estonia;41;0,080201784
Estonia;42;0,081608603
Estonia;43;0,078728461
Estonia;44;0,070143885
Estonia;45;0,051408237
Finland;1;0,763571429
Finland;2;0,848288792
Finland;3;0,885057796
Finland;4;0,859565007
Finland;5;0,793359161
Finland;6;0,690746335
Finland;7;0,837560732
Finland;8;1,188497803
Finland;9;0,684611474
Finland;10;0,636121903
Finland;11;0,824735758
Finland;12;0,755792685
Finland;13;0,870886555
Finland;14;0,82630847
Finland;15;0,987900952
Finland;16;1,058814929
Finland;17;0,676686255
Finland;18;0,603107303
Finland;19;0,737942442
Finland;20;0,853110318
Finland;21;0,800793071
Finland;22;0,750594568
Finland;23;0,758470856
Finland;24;0,759438355
Finland;25;0,50044495
Finland;26;0,300297346
Finland;27;0,231737401
Finland;28;0,209354687
Finland;29;0,262887638
Finland;30;0,315923979
Finland;31;0,280913237
Finland;32;0,215162779
Finland;33;0,180777347
Finland;34;0,145097284
Finland;35;0,097026005
Finland;36;0,089722333
Finland;37;0,069546248
Finland;38;0,045355916
Finland;39;0,049542126
Finland;40;0,043272114
Finland;41;0,032404597
Finland;42;0,027548186
Finland;43;0,030905858
Finland;44;0,028802995
Finland;45;0,033840696
France;1;1,022438725
France;2;1,075691234
France;3;1,092199529
France;4;1,09773403
France;5;1,038585083
France;6;1,063432007
France;7;1,039731498
France;8;1,012776051
France;9;1,120820882
France;10;1,113079263
France;11;1,148684686
France;12;1,111331959
France;13;1,141177797
France;14;1,143712617
France;15;0,722587737
France;16;0
France;17;0
France;18;0
France;19;0
France;20;0
France;21;0
France;22;0
France;23;0
France;24;0
France;25;0
France;26;0
France;27;0
France;28;0
France;29;0
France;30;0
France;31;0
France;32;0
France;33;0
France;34;0
France;35;0
France;36;0
France;37;0
France;38;0
France;39;0
France;40;0
France;41;0
France;42;0
France;43;0
France;44;0
France;45;0
Greece;1;1,278728265
Greece;2;1,142098362
Greece;3;1,103827143
Greece;4;1,296527387
Greece;5;1,24751711
Greece;6;0,657654887
Greece;7;0,477061156
Greece;8;0,501693976
Greece;9;0,54697681
Greece;10;0,787067921
Greece;11;1,046167938
Greece;12;1,175817149
Greece;13;1,048207347
Greece;14;1,15366351
Greece;15;1,149573736
Greece;16;0,937736342
Greece;17;0,902752841
Greece;18;1,00453793
Greece;19;1,470813014
Greece;20;1,388594705
Greece;21;1,037974221
Greece;22;0,939954892
Greece;23;0,884566525
Greece;24;0,553688028
Greece;25;0,34078712
Greece;26;0,500629268
Greece;27;0,913922493
Greece;28;1,004728822
Greece;29;1,095758332
Greece;30;0,891210075
Greece;31;0,49151398
Greece;32;0,389028956
Greece;33;0,36245376
Greece;34;0,419736767
Greece;35;0,31515372
Greece;36;0,272382419
Greece;37;0,331777386
Greece;38;0,208862313
Greece;39;0,175064696
Greece;40;0,405094412
Greece;41;0,546617166
Greece;42;0,52044942
Greece;43;0,358788677
Greece;44;0,093227792
Greece;45;0,0000105
Croatia;1;0,941436539
Croatia;2;1,162620748
Croatia;3;1,222631176
Croatia;4;1,493525646
Croatia;5;1,324075255
Croatia;6;1,241019225
Croatia;7;1,33666779
Croatia;8;1,148270181
Croatia;9;0,584353934
Croatia;10;1,190710345
Croatia;11;1,191012793
Croatia;12;1,191452991
Croatia;13;1,192885887
Croatia;14;1,19296866
Croatia;15;1,192941068
Croatia;16;1,195734322
Croatia;17;1,141939912
Croatia;18;1,134455075
Croatia;19;1,132114401
Croatia;20;1,133059467
Croatia;21;1,121163377
Croatia;22;1,102447366
Croatia;23;1,105708834
Croatia;24;1,127412621
Croatia;25;1,117568036
Croatia;26;1,074027029
Croatia;27;1,07620081
Croatia;28;1,078586366
Croatia;29;1,081662612
Croatia;30;1,08564693
Croatia;31;0,656296891
Croatia;32;0
Croatia;33;0
